destination,DFE,_beta_log_dur
9,1.726466756165819,-2.4420147
15,1.384797894819288,-2.4420147
24,1.294182639190405,-2.4420147
29,.8164741696424267,-2.4420147
30,.1639223322427477,-2.4420147
32,.4358449069796309,-2.4420147
33,.998443516747814,-2.4420147
34,1.289850815481345,-2.4420147
35,.6332836702867655,-2.4420147
36,1.239951784301791,-2.4420147
37,-.9979038548980407,-2.4420147
38,.9284195807648675,-2.4420147
40,-.0776182855293615,-2.4420147
41,-.2491793409710176,-2.4420147
42,.4138211540950437,-2.4420147
43,.2674545268002404,-2.4420147
44,.9491869141472872,-2.4420147
45,1.022529932067143,-2.4420147
46,-.616974826011218,-2.4420147
47,2.272751505673037,-2.4420147
48,.2380225637316,-2.4420147
49,1.055844825685003,-2.4420147
50,-2.972075869417012,-2.4420147
51,.5508561770833039,-2.4420147
52,1.191035175809944,-2.4420147
53,2.013365632465408,-2.4420147
54,.476518823038391,-2.4420147
55,.0785654752807089,-2.4420147
56,1.806862092521393,-2.4420147
57,.3993059613745682,-2.4420147
58,-.8572127242642698,-2.4420147
59,.3516296920709377,-2.4420147
60,1.145881316581299,-2.4420147
61,.7446364268508849,-2.4420147
62,.2390688802166638,-2.4420147
63,1.165591224903252,-2.4420147
64,.6444420230644397,-2.4420147
65,-.292165129344281,-2.4420147
66,.3253699087208934,-2.4420147
67,1.659520056008559,-2.4420147
68,.7603330296526549,-2.4420147
69,-.1845854559910476,-2.4420147
70,.1404728373857338,-2.4420147
71,-.251216396232172,-2.4420147
72,.1756156648980226,-2.4420147
73,.7924619332630515,-2.4420147
74,-.3374409563578303,-2.4420147
75,-.2865321113627099,-2.4420147
76,.9555710844566355,-2.4420147
77,.750573846358611,-2.4420147
78,.8581902365419433,-2.4420147
79,.4824452817643117,-2.4420147
80,.7035244608038805,-2.4420147
81,-.3600748052869906,-2.4420147
82,.6814468454666963,-2.4420147
83,.8343580178917721,-2.4420147
84,-2.315809324774649,-2.4420147
85,.8233955156636572,-2.4420147
86,1.791776393709827,-2.4420147
87,-2.047814077069229,-2.4420147
88,.2865401989546968,-2.4420147
89,.9015205506561842,-2.4420147
90,.3145696411666448,-2.4420147
91,.9407387251471332,-2.4420147
92,-.9015310419805114,-2.4420147
93,1.362600571317823,-2.4420147
94,-.3527587609296266,-2.4420147
95,.6487300405736844,-2.4420147
96,.1179376485474906,-2.4420147
97,-.7348696861569097,-2.4420147
99,.9305294432977471,-2.4420147
100,1.200201723153041,-2.4420147
101,-.0885728964775753,-2.4420147
102,-.15222138330986,-2.4420147
103,1.335227224438561,-2.4420147
104,1.337301464175785,-2.4420147
105,-.2117867158599326,-2.4420147
106,1.442314620718575,-2.4420147
107,-.9379993104224222,-2.4420147
108,1.954960767240259,-2.4420147
109,.1484794639742721,-2.4420147
110,-1.30021300020937,-2.4420147
111,.0856067133981495,-2.4420147
112,.7809997501925006,-2.4420147
113,-.0595764322921582,-2.4420147
114,-.2020769864290509,-2.4420147
115,.4701434614935364,-2.4420147
116,1.131283738887465,-2.4420147
117,1.253934086071465,-2.4420147
118,.0130162525358922,-2.4420147
119,-.0721540638878187,-2.4420147
120,.9239819795937163,-2.4420147
121,.196194715103447,-2.4420147
122,-.6829100933787093,-2.4420147
123,-.6612227692705382,-2.4420147
124,.9345934581845399,-2.4420147
125,1.385748210922862,-2.4420147
126,.761286231527161,-2.4420147
127,.0768869444783475,-2.4420147
128,-.4610561249665013,-2.4420147
129,1.136679833981087,-2.4420147
130,.7893858747870427,-2.4420147
131,1.861022121969402,-2.4420147
132,1.389560786085404,-2.4420147
133,1.118601976533461,-2.4420147
134,.2255106037301873,-2.4420147
135,-.4798720562535929,-2.4420147
136,.3989514894502315,-2.4420147
137,1.047386358938568,-2.4420147
138,.4854504461577447,-2.4420147
139,1.566437024422012,-2.4420147
140,-.0102197970415932,-2.4420147
141,.4381009233133445,-2.4420147
142,1.311897452321502,-2.4420147
143,-.7717759416151486,-2.4420147
144,-.2953428315200028,-2.4420147
145,.2368896596631494,-2.4420147
146,-1.320299064545201,-2.4420147
147,.2355221863627487,-2.4420147
148,-.8186891875490555,-2.4420147
149,-.2461355647417972,-2.4420147
150,-.9991897939947451,-2.4420147
151,-.8858719958649688,-2.4420147
152,-.9874251063235923,-2.4420147
153,.5227526738134662,-2.4420147
154,-.0950336270228955,-2.4420147
155,-.3935124973556142,-2.4420147
156,-1.517351325034319,-2.4420147
157,-.605214012257053,-2.4420147
158,-.1454481292664745,-2.4420147
159,-.1333923685711363,-2.4420147
160,-.7529206797921748,-2.4420147
161,-.2089467483672373,-2.4420147
162,-1.141529344988115,-2.4420147
163,-.5722943702174997,-2.4420147
164,-1.467294238087385,-2.4420147
165,-1.368209973056592,-2.4420147
166,.1481773364500869,-2.4420147
167,.787688640918394,-2.4420147
168,-.901951717690583,-2.4420147
169,-.4471204241104855,-2.4420147
170,-.745324579849042,-2.4420147
171,-1.171932143998012,-2.4420147
172,-1.388418195724871,-2.4420147
173,-.8120998890531692,-2.4420147
174,-.7057915674046177,-2.4420147
175,.8033105548113684,-2.4420147
176,-.4488259393100105,-2.4420147
177,-1.832208375758542,-2.4420147
178,-.2632182957886094,-2.4420147
179,-.6859789156301597,-2.4420147
180,.9271402220266648,-2.4420147
181,-.7172017080301133,-2.4420147
182,-1.223330147930673,-2.4420147
183,-1.877888939655753,-2.4420147
184,-1.727387926861814,-2.4420147
185,-1.445263637080507,-2.4420147
186,-.221782074461587,-2.4420147
187,-1.387064455432997,-2.4420147
188,-1.892904259043221,-2.4420147
189,-.1370284925457902,-2.4420147
190,.5066655134428697,-2.4420147
