destination,_beta_slope_OLS_low,_beta_slope_OLS_high,DFE_OLS_low,DFE_OLS_high
15,-3.7296963,-1.9056849,-.72800982,1.9580755
24,-3.7296963,-1.9056849,-.45962986,1.8181291
29,-3.7296963,-1.9056849,2.5290527,-.1737036
30,-3.7296963,-1.9056849,.99805743,-.35691166
32,-3.7296963,-1.9056849,3.1441031,-1.4797455
33,-3.7296963,-1.9056849,-1.2234905,1.7871699
34,-3.7296963,-1.9056849,.51151544,1.0880843
35,-3.7296963,-1.9056849,.69482547,.26192826
36,-3.7296963,-1.9056849,4.0106096,-.56816494
37,-3.7296963,-1.9056849,-.16132885,-2.3110747
40,-3.7296963,-1.9056849,-.75743413,-.012985461
41,-3.7296963,-1.9056849,-.73719168,-.44479674
42,-3.7296963,-1.9056849,-.13672739,-.2355704
47,-3.7296963,-1.9056849,2.6269355,1.9041841
48,-3.7296963,-1.9056849,.14704525,-.052054588
49,-3.7296963,-1.9056849,4.6216288,-2.0870581
53,-3.7296963,-1.9056849,.90604991,2.355623
55,-3.7296963,-1.9056849,-.88193756,.22734417
56,-3.7296963,-1.9056849,-1.3731925,3.1604509
57,-3.7296963,-1.9056849,2.9680955,-1.4883296
58,-3.7296963,-1.9056849,-4.2583241,.61881769
60,-3.7296963,-1.9056849,4.3989277,-1.1935254
62,-3.7296963,-1.9056849,1.7339281,-1.8064499
63,-3.7296963,-1.9056849,.38828695,1.2508274
64,-3.7296963,-1.9056849,.26490006,.48611239
66,-3.7296963,-1.9056849,.96180201,-.40939182
67,-3.7296963,-1.9056849,2.6125154,.73913115
69,-3.7296963,-1.9056849,-2.837152,.84602016
70,-3.7296963,-1.9056849,-.85568458,.022488661
72,-3.7296963,-1.9056849,.56664801,-.45884997
74,-3.7296963,-1.9056849,-.45164582,-.59999132
75,-3.7296963,-1.9056849,-.59840149,-.42833975
76,-3.7296963,-1.9056849,2.7130232,-.35785452
77,-3.7296963,-1.9056849,-3.1218734,2.5422111
78,-3.7296963,-1.9056849,.69501907,.68846309
80,-3.7296963,-1.9056849,2.5935616,-.76721591
81,-3.7296963,-1.9056849,-2.363904,.32109702
82,-3.7296963,-1.9056849,-2.1795747,1.7924823
86,-3.7296963,-1.9056849,2.0876315,1.1955448
87,-3.7296963,-1.9056849,-3.6886063,-1.559141
88,-3.7296963,-1.9056849,-2.3319254,1.2948942
89,-3.7296963,-1.9056849,-1.4896178,1.6722121
90,-3.7296963,-1.9056849,.38764289,-.083383486
91,-3.7296963,-1.9056849,.57283753,.87962896
92,-3.7296963,-1.9056849,.28964385,-1.7199124
93,-3.7296963,-1.9056849,6.8985257,-2.250401
94,-3.7296963,-1.9056849,-1.3718255,-.19142595
95,-3.7296963,-1.9056849,-.0057691336,.62659639
96,-3.7296963,-1.9056849,1.1716987,-.83517545
97,-3.7296963,-1.9056849,-1.5927976,-.66237468
99,-3.7296963,-1.9056849,.99124157,.59372264
100,-3.7296963,-1.9056849,2.4283009,.045863293
101,-3.7296963,-1.9056849,-.29718125,-.34006342
102,-3.7296963,-1.9056849,.41087639,-.82299155
104,-3.7296963,-1.9056849,1.4173095,.90933555
105,-3.7296963,-1.9056849,.27978322,-.80813754
106,-3.7296963,-1.9056849,1.3904605,1.2447784
107,-3.7296963,-1.9056849,1.0084856,-2.2926357
108,-3.7296963,-1.9056849,-.051550176,2.6650741
109,-3.7296963,-1.9056849,2.2167623,-1.4347101
110,-3.7296963,-1.9056849,-1.0253395,-1.9290489
111,-3.7296963,-1.9056849,.52649754,-.75639188
112,-3.7296963,-1.9056849,-.67840123,1.1408167
113,-3.7296963,-1.9056849,.068174876,-.3884573
114,-3.7296963,-1.9056849,1.0708743,-1.1558559
115,-3.7296963,-1.9056849,1.0444369,.027399594
116,-3.7296963,-1.9056849,3.674207,-.62683308
117,-3.7296963,-1.9056849,3.761009,-.33740288
118,-3.7296963,-1.9056849,2.9153755,-1.899708
119,-3.7296963,-1.9056849,1.3293204,-1.2484379
120,-3.7296963,-1.9056849,3.5816283,-.80605179
121,-3.7296963,-1.9056849,.46692261,-.14726932
122,-3.7296963,-1.9056849,1.5403876,-2.5190628
123,-3.7296963,-1.9056849,.41611436,-1.5263159
124,-3.7296963,-1.9056849,1.1943567,.51410997
125,-3.7296963,-1.9056849,.58769977,1.5459479
126,-3.7296963,-1.9056849,-1.3462043,1.3310301
127,-3.7296963,-1.9056849,.53456247,-.51505482
128,-3.7296963,-1.9056849,-2.534533,.26390797
129,-3.7296963,-1.9056849,1.9442449,.47379687
130,-3.7296963,-1.9056849,1.8179847,.017585291
131,-3.7296963,-1.9056849,-2.7100456,4.2352362
132,-3.7296963,-1.9056849,1.7445341,.79309207
133,-3.7296963,-1.9056849,1.1235663,.85051805
134,-3.7296963,-1.9056849,.092340127,.050132982
135,-3.7296963,-1.9056849,-.31552899,-.77900141
136,-3.7296963,-1.9056849,-1.2805837,.98222816
137,-3.7296963,-1.9056849,3.7946894,-.56366616
138,-3.7296963,-1.9056849,1.4681872,-.31958252
139,-3.7296963,-1.9056849,-.99177581,2.3838294
140,-3.7296963,-1.9056849,.77259773,-.66686255
141,-3.7296963,-1.9056849,-.40891171,.46983042
142,-3.7296963,-1.9056849,1.2549078,.92968941
143,-3.7296963,-1.9056849,-2.8083251,-.032996997
144,-3.7296963,-1.9056849,-.10631626,-.59216577
145,-3.7296963,-1.9056849,.93746167,-.42226747
146,-3.7296963,-1.9056849,-2.9560962,-.78082091
147,-3.7296963,-1.9056849,.58245331,-.1783246
148,-3.7296963,-1.9056849,-1.7831986,-.60319191
149,-3.7296963,-1.9056849,-1.4758337,.070646115
150,-3.7296963,-1.9056849,.015198024,-1.6913329
151,-3.7296963,-1.9056849,-.84862494,-1.1976138
152,-3.7296963,-1.9056849,-1.6479899,-.81142795
