destination,DFE_MLE_low,DFE_MLE_high,_beta_slope_low,_beta_slope_high
9,-3.1964779,2.7005866,-3.8938956,-2.099087
15,-2.4871202,2.4336343,-3.8938956,-2.099087
24,-2.3998706,2.1579564,-3.8938956,-2.099087
29,2.0294189,.90990406,-3.8938956,-2.099087
30,.63399178,.57509446,-3.8938956,-2.099087
32,.28962427,.64569378,-3.8938956,-2.099087
33,-.21833993,1.3772177,-3.8938956,-2.099087
34,.42731845,1.5722857,-3.8938956,-2.099087
35,.15937962,1.1413161,-3.8938956,-2.099087
36,1.725973,1.3922074,-3.8938956,-2.099087
37,-6.417913,.37328473,-3.8938956,-2.099087
38,-.55367839,1.7991501,-3.8938956,-2.099087
40,-1.5640781,.7303468,-3.8938956,-2.099087
41,-4.2739344,.90690506,-3.8938956,-2.099087
42,.007440282,.41724834,-3.8938956,-2.099087
43,.27892077,.57135612,-3.8938956,-2.099087
44,1.4117267,1.191717,-3.8938956,-2.099087
45,1.41799,1.0050288,-3.8938956,-2.099087
46,-1.3120515,.063823484,-3.8938956,-2.099087
47,1.560347,2.7248182,-3.8938956,-2.099087
48,-2.7579556,1.2261553,-3.8938956,-2.099087
49,-1.5551846,1.9283187,-3.8938956,-2.099087
50,-2.2216551,-3.7058437,-3.8938956,-2.099087
51,1.2701751,.15565297,-3.8938956,-2.099087
52,1.6654919,1.2204237,-3.8938956,-2.099087
53,-.23033126,2.7371395,-3.8938956,-2.099087
54,.97103304,.51869982,-3.8938956,-2.099087
55,-2.5203183,1.0462693,-3.8938956,-2.099087
56,.87428242,2.1735377,-3.8938956,-2.099087
57,-3.1837738,1.5378636,-3.8938956,-2.099087
58,-4.8772092,.20995429,-3.8938956,-2.099087
59,.4353866,.68008417,-3.8938956,-2.099087
60,.76199991,1.4030644,-3.8938956,-2.099087
61,.61871111,1.2282013,-3.8938956,-2.099087
62,.048229702,-.08134529,-3.8938956,-2.099087
63,-.21877632,1.6935898,-3.8938956,-2.099087
64,.62423664,.6321575,-3.8938956,-2.099087
65,-1.3149886,.4627493,-3.8938956,-2.099087
66,-1.1476483,1.0888524,-3.8938956,-2.099087
67,1.712373,1.5407915,-3.8938956,-2.099087
68,-3.8628647,1.733753,-3.8938956,-2.099087
69,-3.6780427,.87762475,-3.8938956,-2.099087
70,-.44290951,.57479197,-3.8938956,-2.099087
71,-.61346287,.19613002,-3.8938956,-2.099087
72,-2.3564839,1.1815239,-3.8938956,-2.099087
73,.33972791,1.3498394,-3.8938956,-2.099087
74,-.95222354,-.019154735,-3.8938956,-2.099087
75,-3.1024268,.48912874,-3.8938956,-2.099087
76,-.16479018,1.5632533,-3.8938956,-2.099087
77,-2.7513163,1.916701,-3.8938956,-2.099087
78,1.101759,.74681073,-3.8938956,-2.099087
79,.1658984,.86415684,-3.8938956,-2.099087
80,-.44973218,1.3358002,-3.8938956,-2.099087
81,-3.3976262,.6643663,-3.8938956,-2.099087
82,-.52139539,1.1891192,-3.8938956,-2.099087
83,.47472489,1.1344085,-3.8938956,-2.099087
84,-3.4775689,-2.0859878,-3.8938956,-2.099087
85,-5.4593377,1.8740355,-3.8938956,-2.099087
86,.98548853,2.0583053,-3.8938956,-2.099087
87,-6.8797717,-.91128469,-3.8938956,-2.099087
88,-6.0980244,1.4099658,-3.8938956,-2.099087
89,-4.3744259,2.0477321,-3.8938956,-2.099087
90,-1.543738,1.2056209,-3.8938956,-2.099087
91,.46883282,1.239006,-3.8938956,-2.099087
92,-1.1184816,-.88775504,-3.8938956,-2.099087
93,1.7381197,1.1676019,-3.8938956,-2.099087
94,-1.9926696,.30376187,-3.8938956,-2.099087
95,-.75896478,1.1487118,-3.8938956,-2.099087
96,-1.5356662,.83796906,-3.8938956,-2.099087
97,-3.2595296,.21903987,-3.8938956,-2.099087
99,-.32833618,1.485427,-3.8938956,-2.099087
100,.16120102,1.589075,-3.8938956,-2.099087
101,-1.3497086,.39666191,-3.8938956,-2.099087
102,-1.2358822,.21268496,-3.8938956,-2.099087
103,.82804745,1.7404159,-3.8938956,-2.099087
104,.87178749,1.6181737,-3.8938956,-2.099087
105,-.9114489,-.035224415,-3.8938956,-2.099087
106,.097871974,2.0660846,-3.8938956,-2.099087
107,-1.1823863,-.83994979,-3.8938956,-2.099087
108,.09213727,2.662312,-3.8938956,-2.099087
109,-1.5359479,.89844751,-3.8938956,-2.099087
110,-3.0704198,-.68685561,-3.8938956,-2.099087
111,-2.0402575,.79145443,-3.8938956,-2.099087
112,-.25629202,1.3102351,-3.8938956,-2.099087
113,-1.1488268,.50353116,-3.8938956,-2.099087
114,-.7148025,-.00040955079,-3.8938956,-2.099087
115,.44791993,.79765004,-3.8938956,-2.099087
116,.66668558,1.3773996,-3.8938956,-2.099087
117,1.5196619,1.0724733,-3.8938956,-2.099087
118,-.32391018,-.087198272,-3.8938956,-2.099087
119,-.89659196,.056124412,-3.8938956,-2.099087
120,.70186245,.90723205,-3.8938956,-2.099087
121,-.10460984,.56130046,-3.8938956,-2.099087
122,-2.8720126,.058485471,-3.8938956,-2.099087
123,-2.0450261,-.21723808,-3.8938956,-2.099087
124,.53610361,1.1843737,-3.8938956,-2.099087
125,.84532845,1.7935445,-3.8938956,-2.099087
126,-.05200097,.74441075,-3.8938956,-2.099087
127,-.82393444,.35582295,-3.8938956,-2.099087
128,-2.1511869,.24405488,-3.8938956,-2.099087
129,.15392362,1.6681689,-3.8938956,-2.099087
130,-.28093675,1.3752503,-3.8938956,-2.099087
131,-3.7198634,3.0552778,-3.8938956,-2.099087
132,1.3182424,1.3602132,-3.8938956,-2.099087
133,.66462946,1.250703,-3.8938956,-2.099087
134,-.90041494,.79261923,-3.8938956,-2.099087
135,-1.0528848,-.52113843,-3.8938956,-2.099087
136,.10323099,.63306844,-3.8938956,-2.099087
137,1.4775896,.94301933,-3.8938956,-2.099087
138,-1.3286133,1.2359564,-3.8938956,-2.099087
139,-.0525796,2.0128543,-3.8938956,-2.099087
140,-1.4326767,.60376155,-3.8938956,-2.099087
141,-7.1222086,1.5856793,-3.8938956,-2.099087
142,1.1134505,1.3189257,-3.8938956,-2.099087
143,-1.7344021,-.43501547,-3.8938956,-2.099087
144,-.61737317,-.30837369,-3.8938956,-2.099087
145,-.88260275,.72604263,-3.8938956,-2.099087
146,-2.674597,-.97591287,-3.8938956,-2.099087
147,-.80094832,.6581853,-3.8938956,-2.099087
148,-2.2387128,-.37070733,-3.8938956,-2.099087
149,-1.2270185,.11491562,-3.8938956,-2.099087
150,-2.5964031,-.56690335,-3.8938956,-2.099087
151,-2.6956165,-.28683239,-3.8938956,-2.099087
152,-1.8480157,-.82962137,-3.8938956,-2.099087
153,-7.2285361,1.6554232,-3.8938956,-2.099087
154,-.5897361,.20530351,-3.8938956,-2.099087
155,-2.68765,.5205211,-3.8938956,-2.099087
156,-3.851723,-.62642246,-3.8938956,-2.099087
157,-2.0653999,-.0054668467,-3.8938956,-2.099087
158,-6.57759,1.0171108,-3.8938956,-2.099087
159,-1.4372108,.35285777,-3.8938956,-2.099087
160,-3.7689319,.27341837,-3.8938956,-2.099087
161,-1.2595526,.41807607,-3.8938956,-2.099087
162,-2.3734746,-.54491973,-3.8938956,-2.099087
163,-2.2879844,.07944794,-3.8938956,-2.099087
164,-2.7536511,-.89922166,-3.8938956,-2.099087
165,-5.4905787,-.12218209,-3.8938956,-2.099087
166,.083047755,-.20019093,-3.8938956,-2.099087
167,-5.9093041,1.9104514,-3.8938956,-2.099087
168,-1.9679958,-.56637013,-3.8938956,-2.099087
169,-3.1667025,.49835682,-3.8938956,-2.099087
170,-2.2091651,-.22376561,-3.8938956,-2.099087
171,-2.8956511,-.44088975,-3.8938956,-2.099087
172,-2.5841539,-.95937032,-3.8938956,-2.099087
173,-3.3726945,.16057321,-3.8938956,-2.099087
174,-5.2044353,.48350248,-3.8938956,-2.099087
175,-.82528353,1.4279748,-3.8938956,-2.099087
176,-2.0595608,.25588903,-3.8938956,-2.099087
177,-3.7564552,-1.1029561,-3.8938956,-2.099087
178,-1.0250891,.15031718,-3.8938956,-2.099087
179,-2.6668043,.19617084,-3.8938956,-2.099087
180,1.8278331,-.0078230547,-3.8938956,-2.099087
181,-3.0323498,.19197899,-3.8938956,-2.099087
182,-2.2586038,-.80528706,-3.8938956,-2.099087
183,-3.2603347,-1.2928073,-3.8938956,-2.099087
184,-3.3084123,-.93651378,-3.8938956,-2.099087
185,-4.1467266,-.463774,-3.8938956,-2.099087
186,-3.513531,.83532202,-3.8938956,-2.099087
187,-2.7284744,-.69231766,-3.8938956,-2.099087
188,-3.5765753,-1.2644249,-3.8938956,-2.099087
189,-1.2089283,-.024078175,-3.8938956,-2.099087
190,-.29780954,.79076636,-3.8938956,-2.099087
191,-1.9439893,-.57277405,-3.8938956,-2.099087
192,-7.8458147,1.3832949,-3.8938956,-2.099087
193,-1.7300401,-.51689625,-3.8938956,-2.099087
194,-.97631872,-.21822634,-3.8938956,-2.099087
195,2.0868177,1.3121442,-3.8938956,-2.099087
196,.27880889,.99456167,-3.8938956,-2.099087
197,-1.1550914,-.62154394,-3.8938956,-2.099087
198,-2.6010518,-.99379581,-3.8938956,-2.099087
199,-1.795539,-.33415708,-3.8938956,-2.099087
200,-2.2032759,-.3623668,-3.8938956,-2.099087
201,-2.4228082,.92990023,-3.8938956,-2.099087
202,-3.6819165,.48467052,-3.8938956,-2.099087
203,-.06747818,1.0827644,-3.8938956,-2.099087
204,-6.8749361,-.2975404,-3.8938956,-2.099087
205,-3.1817744,-1.2705739,-3.8938956,-2.099087
206,-2.7753115,-.9009977,-3.8938956,-2.099087
207,-2.4668841,-.83282959,-3.8938956,-2.099087
208,-3.0874615,-1.2988529,-3.8938956,-2.099087
209,-1.6530914,-.16040577,-3.8938956,-2.099087
210,-1.2615632,.64898819,-3.8938956,-2.099087
211,-3.0123873,-1.3740758,-3.8938956,-2.099087
212,-1.2855529,-.1247363,-3.8938956,-2.099087
213,-6.2167783,.75178766,-3.8938956,-2.099087
214,-3.8690796,-.9831388,-3.8938956,-2.099087
215,-1.5870537,-.32849982,-3.8938956,-2.099087
216,-3.0751908,-1.1816995,-3.8938956,-2.099087
217,-2.1476684,-.025794402,-3.8938956,-2.099087
218,-2.4846256,.79960269,-3.8938956,-2.099087
219,-.61010736,1.7891032,-3.8938956,-2.099087
220,-3.3177381,-.82311529,-3.8938956,-2.099087
221,-2.2227466,-.78338575,-3.8938956,-2.099087
222,.72387576,.62242347,-3.8938956,-2.099087
223,-3.0365245,.35674739,-3.8938956,-2.099087
224,-6.7550492,1.6148328,-3.8938956,-2.099087
225,-2.3210924,-.5342828,-3.8938956,-2.099087
226,-1.7241584,-.42079803,-3.8938956,-2.099087
227,-1.2771468,-.53307825,-3.8938956,-2.099087
228,-4.8393149,1.9049119,-3.8938956,-2.099087
229,-3.1086311,1.434791,-3.8938956,-2.099087
230,-2.9227488,-1.1618214,-3.8938956,-2.099087
231,-2.9439511,-.58361489,-3.8938956,-2.099087
232,-1.1109606,.31023794,-3.8938956,-2.099087
233,1.733951,2.4008043,-3.8938956,-2.099087
234,-3.4610279,-.67980868,-3.8938956,-2.099087
235,.31820008,-.061477251,-3.8938956,-2.099087
236,-1.4422843,.32156229,-3.8938956,-2.099087
237,1.5287238,1.4817648,-3.8938956,-2.099087
238,-2.1144028,-.28445452,-3.8938956,-2.099087
239,-6.4012747,-.035877861,-3.8938956,-2.099087
240,.47007716,1.7049962,-3.8938956,-2.099087
241,-4.7988625,.28991568,-3.8938956,-2.099087
242,-1.5782217,-.65449703,-3.8938956,-2.099087
243,-1.9464818,-.58462644,-3.8938956,-2.099087
244,-.7685461,.59103841,-3.8938956,-2.099087
245,-1.366886,.41421792,-3.8938956,-2.099087
246,-5.1249862,.3840884,-3.8938956,-2.099087
247,-5.3060789,-.15753298,-3.8938956,-2.099087
248,-2.1795111,.179481,-3.8938956,-2.099087
249,-4.1860209,-.57269824,-3.8938956,-2.099087
250,-2.0403702,-.82692045,-3.8938956,-2.099087
251,-2.7116616,-.72607368,-3.8938956,-2.099087
252,-1.8195261,-.19892578,-3.8938956,-2.099087
253,-1.7042843,-.036886841,-3.8938956,-2.099087
254,-2.026788,-.93930274,-3.8938956,-2.099087
255,-3.7045009,-1.46136,-3.8938956,-2.099087
256,-4.5357423,.71850491,-3.8938956,-2.099087
257,-1.5338389,1.2821134,-3.8938956,-2.099087
258,-.52359587,.2345569,-3.8938956,-2.099087
259,-6.7841873,-2.5080056,-3.8938956,-2.099087
260,-3.3150489,1.862318,-3.8938956,-2.099087
261,-.77309144,1.3299884,-3.8938956,-2.099087
262,-3.0476751,-.53757989,-3.8938956,-2.099087
263,-2.5333951,.045739766,-3.8938956,-2.099087
264,-.21887718,1.4490924,-3.8938956,-2.099087
265,-2.3639505,-1.2822808,-3.8938956,-2.099087
266,-2.9791799,-.69040906,-3.8938956,-2.099087
267,-2.6769297,1.0232919,-3.8938956,-2.099087
268,-5.8759174,.2527349,-3.8938956,-2.099087
269,-5.0698037,-.31249318,-3.8938956,-2.099087
270,-3.2283814,.63036036,-3.8938956,-2.099087
271,-2.6000173,-.37866357,-3.8938956,-2.099087
272,-.76690346,.80486894,-3.8938956,-2.099087
273,-5.9174519,1.797321,-3.8938956,-2.099087
274,-4.1537166,.75792146,-3.8938956,-2.099087
275,-.2408461,1.0220867,-3.8938956,-2.099087
276,-1.2360964,.56832922,-3.8938956,-2.099087
277,-3.5799038,-.10838617,-3.8938956,-2.099087
278,-3.2026596,-.23262767,-3.8938956,-2.099087
279,-5.5419931,1.8053519,-3.8938956,-2.099087
280,1.5830498,2.3783357,-3.8938956,-2.099087
281,-2.4284761,-1.2089908,-3.8938956,-2.099087
282,-3.3972616,.3124038,-3.8938956,-2.099087
283,-4.2082992,-1.1099597,-3.8938956,-2.099087
284,-3.1993127,-.62674618,-3.8938956,-2.099087
285,-.86344719,.86521614,-3.8938956,-2.099087
286,-4.0240688,.69371212,-3.8938956,-2.099087
287,-1.1948107,.087788627,-3.8938956,-2.099087
288,-.81209481,.35051212,-3.8938956,-2.099087
289,-5.8921609,-.4925707,-3.8938956,-2.099087
290,-1.7959512,-.18174349,-3.8938956,-2.099087
291,-.2934882,.99289918,-3.8938956,-2.099087
292,2.4419868,1.9197456,-3.8938956,-2.099087
293,-4.4249654,-1.0834303,-3.8938956,-2.099087
294,-.97944069,-.036704548,-3.8938956,-2.099087
295,-2.1019585,-1.3158026,-3.8938956,-2.099087
296,-2.7014134,-1.1980928,-3.8938956,-2.099087
297,-2.1839566,-1.1690176,-3.8938956,-2.099087
298,-.61102092,.11154164,-3.8938956,-2.099087
299,-1.6528538,.089180999,-3.8938956,-2.099087
300,-1.0745591,1.3524091,-3.8938956,-2.099087
301,-1.4793303,-.16897905,-3.8938956,-2.099087
302,-.59630418,-.56367159,-3.8938956,-2.099087
303,-2.0697052,-.39122832,-3.8938956,-2.099087
304,-3.2070076,-.28066492,-3.8938956,-2.099087
305,-2.245786,-.67385334,-3.8938956,-2.099087
306,-.28201145,1.5337569,-3.8938956,-2.099087
307,-6.8391995,-4.1986723,-3.8938956,-2.099087
308,-4.1379309,-3.2576022,-3.8938956,-2.099087
309,-4.8815393,.94953734,-3.8938956,-2.099087
310,-1.9091505,-1.030058,-3.8938956,-2.099087
311,-.27940896,.70797372,-3.8938956,-2.099087
312,-1.6712877,-.066004246,-3.8938956,-2.099087
313,-2.1436415,-.54645556,-3.8938956,-2.099087
314,-.22548902,.28028488,-3.8938956,-2.099087
315,-6.8094087,.23382919,-3.8938956,-2.099087
316,-3.4137852,1.4904237,-3.8938956,-2.099087
317,-2.4143453,-.60714293,-3.8938956,-2.099087
318,-2.0133264,-2.0565712,-3.8938956,-2.099087
319,-4.7167664,-.80276209,-3.8938956,-2.099087
320,-1.612352,-1.7673935,-3.8938956,-2.099087
321,-2.9815876,-.57080197,-3.8938956,-2.099087
322,-.61347252,-.71430123,-3.8938956,-2.099087
323,-1.6412525,-.58017707,-3.8938956,-2.099087
324,-1.3753419,-.7244963,-3.8938956,-2.099087
325,-1.132107,-1.2926137,-3.8938956,-2.099087
326,.001189021,-.36817941,-3.8938956,-2.099087
327,-.61644638,-.70161015,-3.8938956,-2.099087
328,-1.3673941,-1.1271583,-3.8938956,-2.099087
329,.37545621,.97108674,-3.8938956,-2.099087
330,.16487069,.15582874,-3.8938956,-2.099087
331,-1.7542608,-.2651144,-3.8938956,-2.099087
332,-1.4568866,.41538593,-3.8938956,-2.099087
333,-1.7847946,1.0848093,-3.8938956,-2.099087
