destination,DFE_MLE_low,DFE_MLE_high,_beta_slope_low,_beta_slope_high
33,3.0203054,-1.0282594,-3.1965547,-2.1051624
35,-2.8802576,-1.2828118,-3.1965547,-2.1051624
45,-7.4118705,-1.6514502,-3.1965547,-2.1051624
56,-2.678894,-.41245139,-3.1965547,-2.1051624
58,-4.3660097,-.56898004,-3.1965547,-2.1051624
60,-.43219543,.025242999,-3.1965547,-2.1051624
63,3.0316491,-.43856961,-3.1965547,-2.1051624
64,1.6554035,-.55334181,-3.1965547,-2.1051624
68,-2.6178164,.55716139,-3.1965547,-2.1051624
69,-11.516017,1.6163335,-3.1965547,-2.1051624
70,-11.754292,-.96279192,-3.1965547,-2.1051624
71,4.0023355,1.3779851,-3.1965547,-2.1051624
72,-11.528003,-3.135797,-3.1965547,-2.1051624
74,-4.5992646,.61007321,-3.1965547,-2.1051624
75,-11.449306,-1.3285618,-3.1965547,-2.1051624
76,-5.0969043,.45589161,-3.1965547,-2.1051624
77,-7.5624509,.73606431,-3.1965547,-2.1051624
78,-.16842866,-1.2483259,-3.1965547,-2.1051624
80,-6.2302308,1.3821688,-3.1965547,-2.1051624
81,-7.3319702,1.3562762,-3.1965547,-2.1051624
82,-4.9063883,1.6009815,-3.1965547,-2.1051624
83,-9.1659603,.048817456,-3.1965547,-2.1051624
84,-8.801405,-.50441068,-3.1965547,-2.1051624
85,-9.5650005,-1.6513461,-3.1965547,-2.1051624
86,-13.572428,-2.0342233,-3.1965547,-2.1051624
87,-5.2822862,-.42399153,-3.1965547,-2.1051624
88,-8.5904903,.099950209,-3.1965547,-2.1051624
89,-8.1732454,1.1959375,-3.1965547,-2.1051624
91,-3.2205231,.19064152,-3.1965547,-2.1051624
92,-6.2277079,2.0011389,-3.1965547,-2.1051624
93,-5.9467945,-.75078183,-3.1965547,-2.1051624
94,-3.5788119,.31451836,-3.1965547,-2.1051624
95,-5.1233397,.26586661,-3.1965547,-2.1051624
96,-7.1001506,-.50428468,-3.1965547,-2.1051624
97,-8.537466,-1.186699,-3.1965547,-2.1051624
98,-7.46699,.92314583,-3.1965547,-2.1051624
99,-11.540274,-.034396984,-3.1965547,-2.1051624
