date,,dow,description,type
2013-08-02,2-Aug,Friday,Jumatul Bidah,Public Holiday
2013-08-06,6-Aug,Tuesday,Shab-e-qadr,Public Holiday
2013-08-09,9-Aug,Friday,Eid ul-Fitr,Public Holiday
2013-08-10,10-Aug,Saturday,Eid ul-Fitr Holiday,Public Holiday
2013-08-11,11-Aug,Sunday,Eid ul-Fitr Holiday,Public Holiday
2013-08-12,12-Aug,Monday,Eid ul-Fitr Holiday,Optional Holiday
2013-08-15,15-Aug,Thursday,National Mourning Day,Public Holiday
2013-08-20,20-Aug,Tuesday,Raksha Bandhan,Hindu Holiday
2013-08-28,28-Aug,Wednesday,Janmashtami,Public Holiday
2013-09-09,9-Sep,Monday,Ganesh Chaturthi,Hindu Holiday
2013-09-18,18-Sep,Wednesday,Madhu Purnima,Optional Holiday
2013-11-02,2-Nov,Saturday,Sri Shayama Puja,Optional Holiday
2013-11-03,3-Nov,Sunday,Lakshmi Puja,Optional Holiday
2013-11-14,14-Nov,Thursday,Ashura,Public Holiday
2013-12-16,16-Dec,Monday,Victory Day,Public Holiday
2013-12-24,24-Dec,Tuesday,Christmas Eve,Optional Holiday
2013-12-25,25-Dec,Wednesday,Christmas Day,Public Holiday
2013-12-26,26-Dec,Thursday,Boxing Day,Optional Holiday
2013-12-31,31-Dec,Tuesday,New Year's Eve,Optional Holiday
